day,ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
20,0.12933403809230562,0.3039743910178833,0.2649943603434935,0.16740621221134958,0.27834788619948425,0.5404937436041085,0.336317241232498,0.19888051785589927,0.38391833704668815,0.29976552489251157,0.23568163166478728,0.2951198073388881,0.39821136215319486,0.24604890980242236,0.20776605029110767,0.335042365264246,0.3039032296893736,0.351684632832249,0.41998572012010565,0.39764708777217866,0.267432004545361,0.7690028856270085,0.315728253415608,0.3030075766529897,0.38719160641387956,0.4561224188511216,0.2794852487221291,0.29861005909886057,0.32553637809864605,0.3756269650917103,0.5195036098448477,0.19627020419277513,0.31741566052795844,0.33808449568801496,0.27831679243665786,0.5263620924769694,0.21726099201720975,0.5617576324035444,0.3792453412882862,0.3865301978213395,0.5447518925740275,0.1652423777984243,0.11466899127732656,0.18442922359206643,0.250638646056622,0.3719166061826037,0.26514082800686745,0.39327214728496485,0.24917045844798016,0.3656573718152777,0.36866112654586
21,0.1198197905181086,0.28876455095525083,0.27644357970542205,0.20432549246178278,0.2643470823609953,0.5201884652702408,0.36818184898761097,0.18802882600935414,0.35166539192449503,0.28670914201425685,0.2473761037799205,0.27847333436020777,0.3998031403495337,0.24729964380707367,0.22581979731330767,0.3377010242833618,0.3053298717167226,0.3517364907386661,0.41881565848310853,0.390358050910383,0.2678520179033979,0.7432706083645431,0.3170420138114258,0.3059966404078539,0.4024898242286925,0.45275219713051035,0.2843314837621095,0.2976286639295008,0.3126668380895215,0.3763673893596366,0.5357910785648978,0.20643462089976636,0.32407064131171426,0.3132652973088532,0.2627635457144061,0.5951595588178249,0.21906037888309055,0.5848984224372681,0.3692050904293521,0.3789410566481627,0.57873740142271,0.163485558592892,0.11918405091282425,0.17448315159299593,0.2600955517805922,0.3128976478964333,0.24196329479118414,0.3788035234139239,0.235355265926963,0.37286925497864515,0.37178332168572686
22,0.11686765152676418,0.29895067170174067,0.2828719338020182,0.20429155777962027,0.2619830398281107,0.5083200668079352,0.3672953871111924,0.19280648004130707,0.3586698376867854,0.2868085089392845,0.24295986579321113,0.3066253331946419,0.38903925563856123,0.2493551435040633,0.22753541862923085,0.3316973500591904,0.32183507374803866,0.3554940291236061,0.4295948849751548,0.3977135160820304,0.29683751078875625,0.6624264889147946,0.287100084590562,0.3060645836493006,0.3990343245809812,0.45240524030185975,0.34810168140465897,0.29064611558397835,0.31716560856614406,0.3618621933671758,0.534347054149,0.20811375590288544,0.3280577962143646,0.3076166686112234,0.2643167118100825,0.5911577178478752,0.21799240225480596,0.5922438355481824,0.3721261439661943,0.378758347895206,0.5647650718258684,0.15999095758142692,0.12063690518280588,0.18256040532616824,0.25915642153368373,0.3079006029305569,0.2178685952390208,0.34147644057280135,0.23496279229925476,0.3642063871528809,0.3735624441688124
23,0.1185912778441239,0.34801828323484807,0.2581600521060845,0.20466760452814095,0.24724763659524676,0.508668352199423,0.3652225387776903,0.18294232727423643,0.3582493446704344,0.28500243227374006,0.24223078714975285,0.3122779205245719,0.4035028645518018,0.2793980678794497,0.22333901196985348,0.33417681890769546,0.32300589350959613,0.3550435570024889,0.42818870473906695,0.38827992390988525,0.3139967019828664,0.6694641266852333,0.2876361507369409,0.3086275627089456,0.4047984419235535,0.4460616596197703,0.33611801982011663,0.2965770408606613,0.31474742121811006,0.4056881962241591,0.534055382943016,0.18945123573782474,0.3259146539065165,0.3106451204775377,0.2693039015870434,0.6065323994290506,0.23201805963391092,0.575529622624607,0.3834778452077535,0.34743673419200216,0.5648549919706902,0.1568367324928761,0.1239726197670848,0.18301297397680696,0.21660804977243778,0.3032171605753587,0.21789746061980617,0.3482016079416841,0.22605847557859113,0.38150459302883255,0.35950959107266633
24,0.11417977812082038,0.3476337090765811,0.2406171440062067,0.18863238988946607,0.26135822331836445,0.5198162298465613,0.38881723609322316,0.1537564244743846,0.3673564407551588,0.2669985168983226,0.24450578281751992,0.3127013705951023,0.39032405555756217,0.2819317173206766,0.21603866317203696,0.33905980356136844,0.3240757571928774,0.3514299314674194,0.44900991481378416,0.3805628384496378,0.31454726506802927,0.6712677468346452,0.29052960318091614,0.3182484950199819,0.40829453310262814,0.4495520002177666,0.35077413440199695,0.2751679530208022,0.3235223700187391,0.3741527401178836,0.5340309828648883,0.1889749690585601,0.32233037261246805,0.30095082210530033,0.24795146264324747,0.6041448079520704,0.22433580878513587,0.5841501357300805,0.4022851579819751,0.35509164128940784,0.5520100947969537,0.14281529007044366,0.1219832596515533,0.19106412247921892,0.2067788044121379,0.2688642720313084,0.21282719893389623,0.31772689669492055,0.2180211930458682,0.38688301271102515,0.3611801870216211
25,0.11811737058649122,0.33651758606564774,0.24063121183001931,0.19156979835584856,0.2617478633680003,0.502739327072883,0.3758145583052523,0.13939852196618743,0.3805931818616653,0.2595223827282371,0.25899077536021786,0.3105023780044153,0.36868449272528564,0.28068491927043515,0.15140897166298573,0.3213982965626582,0.32327533616992044,0.38254069552174924,0.45321698750535777,0.3730797629268401,0.3220369021004541,0.662570530861067,0.3332936395030849,0.3295746834484912,0.4379375583531701,0.4521031309699239,0.3344632299728945,0.2732573789054153,0.32155841158306564,0.38429331985576354,0.5333881575986555,0.20009254488760544,0.3629434384427986,0.2957918340636387,0.2558732566661929,0.6267349940548416,0.22337848230807686,0.585561672842073,0.4015842810328656,0.36003204804400957,0.5620983058497487,0.1413307297103633,0.11710475054037905,0.19138029075554513,0.22707662618969163,0.2842411693230539,0.21370252647699442,0.31670948077066424,0.21818278084648718,0.3855489805252463,0.35285270369926386
26,0.11083175966028108,0.3368622455085547,0.25880933698795644,0.19174559744338485,0.25800286525179733,0.48361904746823076,0.3868491149284741,0.15478730366831386,0.36985603622658764,0.25564766176004655,0.23508274408906893,0.2766373596112967,0.3690369448565786,0.2807012260230405,0.15419878648389532,0.3099623242594463,0.32191679684509433,0.37614517225458816,0.46686223682885725,0.358094586767329,0.3213968090373182,0.6444868678104668,0.33416358277084535,0.3195452310021793,0.39835690169034454,0.4447690461421633,0.33344161584026605,0.2697896154488614,0.3073594896893378,0.38204888269363396,0.5243528649335677,0.2010112884133398,0.341315664989775,0.30282022054249447,0.25876450595279843,0.6372827208310495,0.2244767146107753,0.5145345573637874,0.3862271637679192,0.5229983074727436,0.5578497993142526,0.1364552982435549,0.11574523343172807,0.20093003182174612,0.22651148947576857,0.28197131342078835,0.2064252964564365,0.33172435818304374,0.2166253408717047,0.3576877442971092,0.34508596973918254
27,0.1112835112392105,0.32484934898173057,0.2504781429734817,0.19964702019933625,0.19536877795140659,0.4849518796841536,0.36615772677491965,0.15489191316620218,0.38060853084888774,0.2504447081632269,0.24613314471357756,0.261225488544759,0.3732730239592488,0.28048804473438016,0.15363653976737268,0.3006985962036268,0.3442850502096597,0.3759539963072609,0.4530577693088603,0.35715927888743704,0.31067556521508827,0.6848705999144955,0.33364559383573134,0.32254645396345694,0.3999289053952329,0.44339390669592377,0.3753252469634671,0.24900966797720842,0.29817398319504695,0.3908174222989865,0.5475776596350836,0.2094328492071843,0.3370668238307023,0.3045113230776739,0.25579914121687863,0.6375619100207839,0.23945311562219343,0.5315278999702701,0.3714573415484376,0.5407821464928884,0.5740499029452828,0.1367181915103653,0.13057844067427377,0.19700450769208408,0.2294721426118285,0.28148100863275294,0.2097000174467732,0.33442375649754813,0.22679097132803727,0.34329001092354794,0.35524809386909184
28,0.10729938321056855,0.3052224773189834,0.2661919610782884,0.19951271398280068,0.1951810144160822,0.432964956846322,0.3680356056623353,0.15871783300859063,0.33860137593913153,0.24563911204125496,0.25461823770465014,0.2456466782445836,0.3652595542749235,0.2795112844627282,0.14500851638252343,0.2991948342626351,0.33951449937340816,0.37201563794533016,0.46692908624833773,0.3803816775117067,0.3011559484007958,0.7121908985047334,0.33490072873831417,0.3122439430585068,0.41977005373978954,0.3614691689221332,0.3754523226192547,0.269938922486785,0.30419690503589175,0.39099796484909893,0.5474978541021897,0.21228810040762414,0.33794050533602404,0.2986629799112027,0.24342986869021854,0.6435445036451602,0.24701173648664776,0.5336950582935617,0.39090367379874547,0.5437805361114906,0.5965562527115008,0.13862757923615765,0.12651624992047186,0.19913444121203097,0.22861613635241934,0.3236824872713733,0.21505093164703426,0.29534732492182797,0.22705992954495702,0.34092435073123123,0.29227961976648675
29,0.10797379300497364,0.27185831457240617,0.2659766018355045,0.19720148078922933,0.1904596427243075,0.4412649324530607,0.38091134168452834,0.15909801659242265,0.3710534058552733,0.24315192908388988,0.27375842546594287,0.24587023868838523,0.3618514566375926,0.2662987145926619,0.14334854671970074,0.2971265094858714,0.34624633908477775,0.365836000641529,0.4578889492574967,0.37593164613475566,0.3015055586539838,0.7017203085659085,0.33429584966393133,0.30510661811406636,0.4197266026331963,0.3145583030700152,0.3895738715756476,0.27017208189596104,0.30816366737548373,0.38174312885652417,0.5462682310648951,0.22498528531805845,0.37351952199123134,0.2981381164632299,0.2418941815894422,0.642847213095406,0.23708908007250146,0.5384186332130391,0.3944334670839267,0.5501758364326782,0.6140623219148775,0.12692632748039118,0.127908680233059,0.20589132488823003,0.22854821983530368,0.3511127070214256,0.21303279666274338,0.29533037522148226,0.22633345601871094,0.338486148252178,0.2977325908045069
30,0.09981714660650283,0.2703908735646789,0.2677200016042609,0.2084111949679325,0.19069053654774312,0.4350852595796621,0.42251247229441424,0.15831506338549453,0.36619657217108575,0.2319892476007673,0.27491467066747344,0.2473881955494327,0.387707088957534,0.269291977574833,0.15161684065249034,0.2978889998646946,0.33267442263229213,0.3688405284966104,0.45515859583864043,0.38842032211691124,0.2657807983068269,0.6543353070642742,0.3362914203207298,0.3032099467764376,0.34320495520924216,0.3479236261868856,0.3912610357610646,0.2699712749455495,0.30578332816540893,0.36132117763862265,0.5112263597624063,0.1912482282164717,0.37858698096663357,0.29117161924741997,0.23259494487747379,0.5285512864113302,0.24530868294313365,0.43262696458794786,0.3976482087268452,0.5475726146206782,0.6069920930826478,0.11962141050692619,0.12699860030028912,0.21105225481727824,0.22843683928685263,0.3409904844718105,0.21212334432159305,0.28645225410097286,0.22541240993386508,0.34940122935875256,0.30055884389409493
31,0.09183532257363104,0.2699636723031407,0.2740117254610677,0.1916619784746066,0.19166828188456633,0.3577907509407154,0.4146728843682049,0.1524084030834189,0.36032940059651875,0.2141698337363242,0.323005089362504,0.24774637930141663,0.378119909224315,0.2854131071375479,0.156755093826874,0.2691962693128472,0.3453991541489101,0.38442722751080116,0.5169533040419434,0.39798509922881176,0.2810751150569836,0.6166723146157413,0.3488316696229588,0.2928001656231622,0.3720653310054373,0.3585968521064169,0.3896818700523064,0.26883393338803685,0.30685564605794646,0.3815762524713498,0.4382168042574805,0.2162568263996796,0.35414506429492654,0.28707989840546566,0.19003275680572362,0.4504219888957535,0.22820443921043318,0.42448801452678797,0.3848096919249594,0.599396793956983,0.6020240866315754,0.1157167863396719,0.12658191568959115,0.2100681541227789,0.1857975910870211,0.34492220634276144,0.2039872718586061,0.30225118040214766,0.22837069699921256,0.3471408974618648,0.2883734480828154
32,0.09026342739330329,0.2757719325082412,0.27390137477749166,0.19093776044279878,0.19095000540984386,0.36615255022531656,0.41310353159650004,0.15795660592216162,0.3059815620937457,0.23637386819714695,0.32226152752584625,0.18330648819316084,0.3277176553871165,0.29179156601021555,0.15724575756555173,0.27979787402458794,0.35018108354395405,0.38451602162822046,0.5087360141129404,0.35372851528676413,0.29118305254046756,0.6186152343928648,0.28805651540899924,0.32020021247699654,0.37026097921701523,0.33409449838737837,0.3981903368725049,0.24669020038601408,0.32276077973140305,0.3820910790773498,0.40745425628955495,0.21022382268897305,0.3484792664373278,0.2881676907582587,0.19153521398785264,0.4408674968569552,0.22352459022477134,0.4159502801780763,0.39230143197064443,0.6042666877516072,0.6048408189193969,0.12328674184549807,0.11389498737115833,0.2007988075220119,0.18993294479173853,0.3448130299360688,0.2041170282613069,0.2879652828288195,0.21434425644048063,0.34730719494106926,0.29513921527864967
33,0.09652832425900484,0.2697717470881202,0.27222246332288025,0.19099120386949006,0.20106081038566156,0.30847181530458156,0.41188451821311406,0.16721207173627595,0.32196971465280966,0.2118634701880217,0.33173957435796064,0.20656169974628757,0.3267579293696978,0.33422955779093805,0.1693629648613168,0.3101201495399835,0.32916129176616027,0.33867762783639244,0.5362473353972287,0.3597342789354676,0.2764191789814088,0.6832254441722306,0.28519415208660187,0.3261247545198136,0.4512014844359933,0.3332600137276324,0.3872483269095763,0.2550191103489113,0.31225251527309467,0.38064323522388827,0.3656387751757018,0.20733526205487207,0.3469883601299847,0.2855647500658366,0.1939561995616458,0.44239948321192873,0.2112973754926413,0.40770085429817415,0.3896155744373069,0.6435481034412571,0.6062159279052234,0.14368835682952877,0.11389368140787909,0.1941758309910996,0.19950208475852738,0.3473846629255431,0.18415563240523175,0.2724192335695404,0.20806190962117602,0.3386494072622999,0.25370261321860915
34,0.0985620569505484,0.2760449836787837,0.2801716520760126,0.18838416248428597,0.20080298790483864,0.32150956978482653,0.40744027926771464,0.1740464348985284,0.3344344732049588,0.21784349185267385,0.34604637721025366,0.2037186909692768,0.34306680010487356,0.32447639308171944,0.16618630242038854,0.29472500837757026,0.299933417142188,0.3071375094164158,0.5078327464595459,0.3567008763832254,0.2916352017720711,0.6849715966064356,0.3064114723712521,0.3683981950338199,0.4528960137639585,0.3873590273619596,0.4074282701548839,0.25009670471686,0.31251403839025793,0.38542612111442315,0.4115432533222863,0.2267031035112335,0.3672527319086076,0.287911287343119,0.20446843953924326,0.43098836871917434,0.1956871067075551,0.33276343984157214,0.3868940989476705,0.6530141659818993,0.5773083890516515,0.15446457537789887,0.11639061981398353,0.19377865119116672,0.19668312551952177,0.35133610332030885,0.1632527515752915,0.28510935563340783,0.20416280862551123,0.3441455037304238,0.2414236963439082
35,0.11856402840049704,0.302663991730889,0.27371637087815176,0.18695333522904947,0.20111888424069188,0.4334274086801755,0.4048446410123471,0.19364322882811885,0.33282423793561994,0.2532910482351824,0.34700256997054624,0.25438860496307475,0.33277178495954646,0.3612883742156676,0.20412221443060954,0.29293287149362324,0.33517842779977525,0.3065234095093828,0.5607562470022599,0.3400671626776311,0.3034855282212711,0.6934735407875314,0.3087201321131341,0.3821681126737239,0.4440991210674488,0.38743235929898207,0.39827170044272026,0.28245788227789836,0.3441311998739202,0.3519185154824551,0.404966120222961,0.22593823211485448,0.36719414153582536,0.2894142873689697,0.23828783923682498,0.44562371129226447,0.19662455058222927,0.32825300934319007,0.32005456651102465,0.667042101834608,0.5565550976290631,0.15329563796964257,0.11363795669376119,0.19545849160673937,0.1989736810156503,0.3519713515783283,0.16863672698050125,0.2949771843575873,0.2005408666276678,0.32476028319172545,0.23232177454983102
36,0.118534286786922,0.303492364101706,0.2757711644331788,0.1871643026089184,0.19407877247731528,0.43634733533790343,0.4214610630939491,0.18551684083182013,0.33818060580101583,0.32557115960923266,0.34922208658082793,0.2535190206578877,0.31806119463685056,0.3805635047185407,0.19955673066489382,0.29101894487574065,0.3388814428436166,0.29032608239167595,0.5621976894592841,0.3883479246233134,0.31182535168891445,0.6924812518327929,0.3041918647545575,0.3674343259924903,0.4408243292926325,0.37797033099172916,0.39875894201878476,0.2666881853525692,0.3699746156933579,0.34367132399823763,0.3539570315587052,0.2240411941596909,0.371181695627384,0.2502302853825017,0.23056739761242145,0.49258131679875095,0.19696554006351993,0.2969975784711062,0.32020741539760145,0.6691019296914209,0.5564279752962202,0.15481209704684074,0.1112015029463027,0.19556404504223146,0.20654458092910366,0.36872059211546276,0.16852499770955537,0.365577026718924,0.215535227038824,0.3157759675982946,0.25724498502702015
37,0.12161941243778202,0.29369581136563105,0.27616979801529307,0.1876785556917707,0.20152269613051638,0.4357336231319036,0.4216213572625412,0.19861631065887436,0.3389807544120232,0.3059546844763384,0.344631270596225,0.26663747080829525,0.33548081706481786,0.3681560195966191,0.2013036824129426,0.27182795385166736,0.34082714859514807,0.29406198992815136,0.5500362674772226,0.3788934587326393,0.31688522056470064,0.6928468378568728,0.3089242376843247,0.3509057387201575,0.46697781828139495,0.41328158144555277,0.3935269750720209,0.2776412443813038,0.36627115041506203,0.3409625064179012,0.35793630071657623,0.23969263428332727,0.37128290582405726,0.26094175304154293,0.22607174560883386,0.49764490027729297,0.1990229964781481,0.2983304989080804,0.32254558321460297,0.7019110755823831,0.5535532927244469,0.15758653885814472,0.11117513188188118,0.19416956387720954,0.20534034079984465,0.3824435675311893,0.1781137406765207,0.36609745023274565,0.20846379834007156,0.31094878957480326,0.25578202561385216
38,0.12173852511144624,0.30521087633481303,0.3148213612153922,0.18567066956362438,0.20048407786587336,0.40251640045151676,0.44022048411619236,0.20092050390135063,0.3414355859523716,0.3058781292003817,0.34580855670095645,0.27581295517906695,0.328177735720032,0.3533749840732575,0.2157801212893084,0.274960760823376,0.33524606268368573,0.3009281486859453,0.5563899820493684,0.37618230597416596,0.30879281188370283,0.7000901275635913,0.3120404795824708,0.3478520371561611,0.47581229921357915,0.41123518642953416,0.3880911444839295,0.2784276638452575,0.34030684293256813,0.29468595499107975,0.3203062571636112,0.23252286530958463,0.420298342052656,0.24909775897030198,0.22640439811314478,0.4960769772821216,0.1992403086261035,0.3033865600336996,0.3264157653173116,0.6904094627036129,0.5564413558159448,0.1585380932404425,0.1141284090007084,0.20004994831733758,0.22737717452882283,0.3702339182752178,0.17052921206316626,0.3713033283297506,0.20321067085210365,0.30352698632795266,0.2550951537167128
39,0.12190535603211544,0.29568710461846276,0.31725834711234663,0.1840800769833638,0.20919719878778023,0.39591839380748267,0.41983869926036654,0.20264342116962447,0.3618101498998683,0.3113573765103302,0.3277934221283688,0.289740523949763,0.33265053125166205,0.3541486756181065,0.21587721732967072,0.2677811576500862,0.325112337821872,0.2958897047645941,0.5466507209149047,0.3758944740938118,0.3124767398169076,0.7035850411761129,0.310228867685848,0.33142271288208947,0.46982078187958093,0.4091931315181499,0.3950427662963483,0.2846846868639898,0.35582546884757565,0.2961272295628914,0.3184172020350052,0.23366357627519144,0.42689546972385445,0.253480266489807,0.22079881123701206,0.5038337918545158,0.2088671083268416,0.3071854035288989,0.33485879857394635,0.6878467499781525,0.5679065737445123,0.1688143740267603,0.11346224118033109,0.201191413654985,0.22883014164821083,0.36967469336353637,0.15437001135450645,0.3753421048507918,0.19676430193510844,0.2962710024516835,0.25526386674957163
40,0.12326951990765772,0.30027524688078133,0.3383465538486616,0.20834033824028214,0.209192875983969,0.399989273871618,0.42189973491827887,0.21809839951746415,0.3496759759458519,0.3029571328478172,0.3381120945074844,0.27711220254801994,0.3383978262167708,0.3529335387288922,0.2145938195078406,0.2737718357657315,0.31603510429482756,0.30374960011317914,0.545119547564622,0.3835373064605399,0.3609417593916324,0.6603619906833548,0.31198072385639813,0.3431804838832678,0.45560532049493285,0.4061767190034792,0.3922087554702335,0.27078462975666195,0.35600139193816177,0.33204583636538104,0.31801171819773655,0.25267280911353657,0.39478907874823016,0.22514308767578223,0.21303496568696942,0.49701343066962667,0.21017946353678835,0.3084876337799648,0.33790675090061106,0.6884867494413561,0.47208382698393725,0.168853402809128,0.13407682056828568,0.22302876716031897,0.2349709685476163,0.39708028076190804,0.15389809909864283,0.37411148333572386,0.1985153880027511,0.30346397108500567,0.24942721558654007
41,0.124147974598923,0.2942537525804678,0.3293742446024575,0.18210087254636556,0.2123237555863148,0.41464701721407526,0.4829815187459942,0.23037288275170634,0.34571693995113273,0.30480781041951555,0.33073177522509534,0.2873827709430565,0.33692010687564317,0.3540098868384425,0.20191331263413273,0.273810063720312,0.31823622137655244,0.3028180275895197,0.5433291875889598,0.38371208473552076,0.36735278967809876,0.6449643234784964,0.31567603255028587,0.3436955046880149,0.4398429270478799,0.44451831382678175,0.3857939145033544,0.2831408884045429,0.35837974701637265,0.3327325297048242,0.2956010377494598,0.2677500954209382,0.3904090400937149,0.2574586877173678,0.21946069958077194,0.44253112173648407,0.21693348364823573,0.3422586711338795,0.3210821614337685,0.7026100693582782,0.4137354004523283,0.17996406264464948,0.1338294826183731,0.2270661070571499,0.22978067411706607,0.3963878467781009,0.16378570961544534,0.3644605340661718,0.236677042254381,0.29206583306337336,0.24934378038804386
42,0.12307513042990866,0.290185107740908,0.3159516926770029,0.1888101166993701,0.1972286264571263,0.4550887247197331,0.48977665515362995,0.23151233124660875,0.3423690687244465,0.30588780984656644,0.3302075346679041,0.265179855787879,0.3369575123712247,0.3529913344135564,0.20348710592573993,0.2772584571111706,0.30942441907354035,0.2876409998383493,0.5355394482200683,0.38044319918755987,0.36174279566841544,0.6409780980188674,0.32046073715545004,0.34089975193276645,0.4624533099830977,0.45152716882577126,0.34326048820328053,0.28861411104118484,0.3470526636243103,0.3309765224406167,0.3113676493741164,0.27699852806553954,0.39690694269708787,0.25739079565947237,0.2258288844106463,0.452362707628589,0.24204128308937634,0.3470792299366533,0.34369385152707566,0.6907438754938873,0.4195182636040066,0.18062572400076546,0.13334306733165727,0.22289427811340717,0.23035154572121752,0.40274221993271697,0.1637906858955383,0.3645126389448204,0.2667382459924023,0.2525033353910855,0.22862526710383171
43,0.12594760073668143,0.23638104546018293,0.3158802622255256,0.19052100359838456,0.1955615251719979,0.46924818604523594,0.49247291294972695,0.2402579061014008,0.343084894617482,0.3129534776100462,0.32965026662675134,0.2679991648990421,0.31137940953100235,0.3305790958603201,0.19966269104046436,0.2772055838084384,0.31311569476311063,0.29827672750412226,0.543437586327942,0.38297501242758664,0.35369338423083996,0.6383545192165236,0.31385871348839484,0.3473962668910883,0.4774729382527185,0.46005296197182677,0.3416425593689799,0.29792191875733876,0.3472518596743246,0.30095922266565994,0.33453571937935433,0.2947984503915278,0.41586963133508764,0.2582216899454094,0.2171566208378169,0.4328290757413304,0.2119298659112454,0.3260219772780839,0.32793988093889753,0.690845244598058,0.4419479651062334,0.18337756794687654,0.13594028786473097,0.23927985432981835,0.22969407018142154,0.3946985106524239,0.18960753287657692,0.34905979365152956,0.2628990130132888,0.23110503562237977,0.22988838622775337
44,0.1256927480231516,0.2601325094675333,0.3131261915480201,0.16777820257402534,0.1844697553896831,0.4670880493283417,0.47299880028467894,0.24270614695678921,0.32849974395800285,0.31752138362569454,0.33175517211454736,0.2688307597606476,0.31727392041428903,0.36412540041169783,0.20022893095282968,0.2835572418822826,0.3219988954567451,0.2998853585155596,0.5279628188343098,0.39232205327419356,0.35448917897676274,0.6313050952750766,0.3116388154755551,0.34983338703126093,0.48029250602111534,0.4569408788465386,0.33017409768817974,0.3095754446523138,0.34309441741720076,0.3012129965433252,0.34081848519606606,0.3371861798534428,0.41445353561905357,0.27341184156335624,0.22580940214981685,0.43269900363253255,0.21182338594480316,0.3431872502554215,0.34853595372952145,0.6888603815587306,0.45534138282592107,0.19030067483596846,0.13911373370075922,0.2340095032649138,0.2403887403187497,0.43437706098702633,0.18825799129646367,0.3568335499035113,0.2580831949305689,0.22079877829929279,0.22501433601524806
45,0.12074464304730133,0.26011440711100065,0.3204584660956116,0.1665912365173529,0.17927936343519324,0.49220809768839785,0.4876267822500868,0.24013205617504724,0.30822314291199154,0.3377516784786684,0.32747263946528843,0.2838533704175506,0.31923476835191855,0.37885417644151415,0.19436604571022398,0.2871243563018492,0.3229311214204647,0.26684201971093113,0.5281933921429651,0.398318808194961,0.3490783643227558,0.6231972070814688,0.268926509545548,0.33884532263885747,0.4516278467454964,0.45630485869457077,0.32708751285757237,0.30981331378662874,0.3424679511385005,0.30068241966840265,0.3516019212391393,0.33935453052998693,0.358850758485088,0.2783356660159837,0.2276106869706769,0.4175290350738515,0.24182427487067787,0.34721794541643025,0.4435907401090025,0.6812913728749329,0.4302523292233856,0.1896394377184289,0.1389998764883614,0.24024084840706836,0.23755592091895467,0.4268884580539918,0.18731589725614106,0.35902325900829074,0.2578441261724079,0.26254455185870174,0.24425289955429122
46,0.12836611640733148,0.26008216107534493,0.33545632596780656,0.16824184889715227,0.18340810955505463,0.4923964666372581,0.4886145411890698,0.23456304469269518,0.3130123489481188,0.3406434946958608,0.3562421383336927,0.28786640264774804,0.3242987040596971,0.3781535229104729,0.19094422723308963,0.2899692596913896,0.3154046785559969,0.2657201021031975,0.5193276158765584,0.4398367446558869,0.34917102202436257,0.6127236795438131,0.26704201977746655,0.33720592075104594,0.4536982908208529,0.48064731795486754,0.34282275542553375,0.30972977722448036,0.36664869023497043,0.29938388649094416,0.37752672634473017,0.36107248194680147,0.35716828064193,0.26865634956687184,0.23648126521568122,0.4376060176795358,0.23703235352806767,0.3700301483518916,0.4487498003035817,0.6185286192422089,0.4802582516584846,0.1941595538162001,0.13934855020703757,0.23096567483177402,0.2392446071810483,0.4314827116018514,0.19283259801731245,0.3447336096312287,0.24828201827740365,0.2680518361698602,0.2395609331378534
